SupplierId,HotelName,Address1,Address2,CityName,StateCode,CountryCode,ZipCode,Latitude,Longitude
818492,Ilunion Caias de Conli,"Urb. Cabo Roche, s/n",,Conil de la Frontera,,ES,11140 CONIL DE LA FRONTERA,36.307592,-6.149897
570110,Hotel Botanico & The Oriental Spa Garden,"Avenida Richard J. Yeoward, 1",,Tenerife Island - Puerto de la Cruz,,ES,38400 PUERTO DE LA CRUZ,28.41273,-16.539006
833997,Boston Park Plaza,"50, Park Plaza",,"Boston, Massachusetts",,US,02116 BOSTON,42.3517012,-71.0682241
93279,Hotel Alfonso XIII,"San Fernando, 2",,Seville,,ES,41004 SEVILHA,37.381531,-5.992802
377606,Iberostar Andalucía Playa Hotel,"Novo Sancti Petri, Chiclana de la Frontera",,Chiclana de la Frontera,,ES,11130 CHICLANA DE LA FRONTERA,36.3479412,-6.1653631
571409,AR Diamante Beach,Avenida Juan Carlos I,,Calpe,,ES,3710 CALPE,38.6502889,0.073094
15629,Dom Carlos Park,"Avenida Duque de Loulé, 121",,Lisbon,,PT,1050-089 LISBOA,38.7252498,-9.1481052
585020,Hotel San Pablo,"Avenida de la Innovación, 10",,Seville,,ES,41020 SEVILHA,37.405365,-5.927515
95306,Best Western Hotel Mediterraneo,"Passeig Maritim, 294 (Castelldefels)",,Castelldefels,,ES,8860,41.266028,1.962355
480828,Tivoli Lagos,Rua António Crisógono Santos,,Lagos,,PT,8600-678 LAGOS,37.1057558,-8.6761938
88059,Parador de Arties,Carretera Baqueira Beret,,Arties,,ES,25599 ARTIES,42.70306,0.936911
358007,Hotel Paseo del Arte,"Calle Atocha, 123",,Madrid,,ES,28012 MADRID,40.409842,-3.693635
606840,Monarque Costa Narejos,"Calle Río Dobra, 2",,Los Alcazares,,ES,30740 LOS ALCAZARES,37.7545797,-0.8417533
587818,Preluna Hotel & Spa,Tower Road 124,,Malta Island - Sliema,,MT,SLM1 605 SLIEMA,35.913244,14.50663
562606,Hotel Dusit Thani Dubai,"133, Sheikh Zayed Road",,Dubai,,AE,23335 DUBAI,25.2061,55.2729
598794,Pestana Arena Barcelona,Calle Consell de Cent 51-53,,Barcelona,,ES,08014 BARCELONA,41.376801,2.146044
902272,Grange Langham Court,31-35 Langham Street,,London,,GB,W1W 6BU LONDON,51.519181,-0.1412305
121217,Hotel Macià Real de la Alhambra,"Mirador del Genil, 2",,Granada (Andalusia),,ES,18008 GRANADA,37.16311,-3.57063
159716,Hotel Catalonia Atenas,"Avenida Meridiana, 151",,Barcelona,,ES,08026 BARCELONA,41.410986,2.186511
377653,Hotel Iberostar Playa De Palma,"Calle Marbella, 36",,Majorca Island - Playa de Palma,,ES,07610 PLAYA DE PALMA,39.523173,2.738189
88263,Hotel Hilton Barcelona,"Avenida Diagonal, 589 591",,Barcelona,,ES,08014 BARCELONA,41.388664,2.131406
645963,Holiday Inn Elche,Calle Miguel Servet 25 (Elche-parque Industrial),,Elche/Elx,,ES,3203 ELCHE,38.2948445,-0.6206648
350691,Hotel Bonalba Alicante,Vespre 10,,Muchamiel/Mutxamel,,ES,3110 Mutxamel,38.4432185,-0.435555
953076,AC Hotel Palácio Universal,"Rua Cánovas del Castillo, 28",,Vigo,,ES,36202 VIGO,42.24018,-8.724613
88452,Hotel Evenia Rosello,"Carrer del Rosselló, 191",,Barcelona,,ES,08036 Barcelona,41.3920222,2.1554669
88196,Evenia Rocafort,"C/ Rocafort, 23-25",,Barcelona,,ES,8015 BARCELONA,41.376253,2.157129
97911,HM Dunas Blancas,"Calle Trasimeno, 12",,Majorca Island - Playa de Palma,,ES,07600 EL ARENAL,39.5092589,2.7510601
547037,Hotel HM Gran Fiesta,"Calle Marbella, 28",,Majorca Island - Playa de Palma,,ES,07610 PLAYA DE PALMA,39.5251847,2.7354961
97186,Apartamentos Blue Sea Costa Teguise Beach,"Avenida del Jabillo, 5",,Lanzarote Island - Costa Teguise,,ES,35508 COSTA TEGUISE,28.9934328,-13.4917634
106953,Days Inn Hyde Park,"Sussex Gardens, 148-152 - Paddington",,London,,GB,W21UD LONDRES,51.515373,-0.172958
